#;domain;problem;run-on;heuristic;search-strategy;tot-time ;search-time ;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;instance 2;Gurpreet;add+cg;eager_greedy;0.0245214s;0.0135245s;56392;231;195;72;31,17%;;33;33;45,83%;1;36;1
;din phil;instance 3;Gurpreet;add+cg;eager_greedy;0.0700772s;0.0211352s;122864;512;398;110;21,48%;;44;44;40,00%;1;120;1
;din phil;instance 4;Gurpreet;add+cg;eager_greedy; 0.128638s;0.0758494s;139680;1864;1276;328;17,60%;;55;55;16,77%;1;307;1
;din phil;instance 5;Gurpreet;add+cg;eager_greedy;0.162722s;0.0891761s;156524;3817;2046;527;13,81%;;66;66;12,52%;1;617;1
;din phil;instance 6;Gurpreet;add+cg;eager_greedy;0.279526s;0.249859s;67116;10198;4494;1207;11,84%;;77;77;6,38%;1;1359;1
;din phil;instance 7;Gurpreet;add+cg;eager_greedy;0.268279s; 0.238922s;61400;20767;5309;1989;9,58%;;88;88;4,42%;1;2646;1
;din phil;instance 8;Gurpreet;add+cg;eager_greedy;3.23908s;3.1947s;71320;459559;96357;38394;8,35%;;115;115;0,30%;1;55620;1
;din phil;instance 9;Gurpreet;add+cg;eager_greedy;10.364s;10.3117s;82584;1544224;275209;115742;7,50%;;142;142;0,12%;1;156245;1
;din phil;instance 10;Gurpreet;add+cg;eager_greedy;4.46442s;4.40609s;65672;743691;97154;51417;6,91%;;121;121;0,24%;1;44160;1
;din phil;instance 11;Gurpreet;add+cg;eager_greedy;22.851s;22.783s;99712;3820048;467671;239184;6,26%;;132;132;0,06%;1;226397;1
;din phil;instance 12;Gurpreet;add+cg;eager_greedy;76.5312s;76.4509s;168200;12562708;1380740;725824;5,78%;;143;143;0,02%;1;652314;1
;din phil;instance 13;Gurpreet;add+cg;eager_greedy;;;;;;;;;;;#DIV/0!;0;994250;0
