#;domain;problem;run-on;heuristic;search-strategy;tot-time;search-time;peak-memory (KB);generated;evaluated;expanded;%expanded;coverage;length;cost;%used;solution-quality;dead-ends;success (1-success, 0-failure)
;din phil;instance 17;Gurpreet;add+cg;eager_greedy;1.67269s;1.64423s;59688;25214;23933;1414;5,61%;;178;178;12,59%;1;0;1
;din phil;instance 18;Gurpreet;add+cg;eager_greedy;1.98071s;1.9627s;60128;28761;27291;1527;5,31%;;187;187;12,25%;1;0;1
;din phil;instance 19;Gurpreet;add+cg;eager_greedy;2.35654s;2.33638s;61040;32656;30980;1646;5,04%;;196;196;11,91%;1;0;1
;din phil;instance 20;Gurpreet;add+cg;eager_greedy;2.65714s;2.63965s;61412;36829;34925;1767;4,80%;;205;205;11,60%;1;0;1
;opt tel;instance 1;Marta;add;lazy_greedy;0.0189766s;0.0100014s;56524;882;317;264;29,93%;;28;28;10,61%;1;52;1
;opt tel;instance 2;Marta;add;lazy_greedy;0.0561556s;0.0100014s;56784;6914;1680;1413;20,44%;;42;42;2,97%;1;266;1
;opt tel;instance 3;Marta;add;lazy_greedy;0.368053s;0.0462842s;58028;52999;9756;8524;16,08%;;56;56;0,66%;1;1231;1
;opt tel;instance 4;Marta;add;lazy_greedy;2.74579s;0.355868s;66076;407116;59459;54137;13,30%;;70;70;0,13%;1;5321;1
;opt tel;instance 5;Marta;add;lazy_greedy;18.9158s;2.71966s;112572;2809636;333034;310448;11,05%;;84;84;0,03%;1;22585;1
;opt tel;instance 6;Marta;add;lazy_greedy;125.931s;18.8992s;419772;18281852;1840774;1738453;9,51%;;98;98;0,01%;1;102320;1
;opt tel;instance 7;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 2;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 3;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;add+cg;lazy_greedy;0.0396094s;0.0283393s;58344;1072;374;373;34,79%;;28;28;7,51%;1;0;1
;opt tel;instance 2;Marta;add+cg;lazy_greedy;0.235203s;0.213585s;59476;9663;2264;2263;23,42%;;42;42;1,86%;1;0;1
;opt tel;instance 3;Marta;add+cg;lazy_greedy;1.61642s;1.58711s;62484;75124;13293;13292;17,69%;;56;56;0,42%;1;0;1
;opt tel;instance 4;Marta;add+cg;lazy_greedy;12.2931s;12.2649s;76284;546505;76945;76944;14,08%;;70;70;0,09%;1;0;1
;opt tel;instance 5;Marta;add+cg;lazy_greedy;84.2375s;84.2091s;168824;3813199;442120;442119;11,59%;;84;84;0,02%;1;0;1
;opt tel;instance 6;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add+cg;lazy_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;add;eager_greedy;0.0299962s;0.0130608s;56524;396;322;90;22,73%;;28;28;31,11%;1;53;1
;opt tel;instance 2;Marta;add;eager_greedy;0.0554263s;0.0448459s;56784;2225;1703;323;14,52%;;42;42;13,00%;1;269;1
;opt tel;instance 3;Marta;add;eager_greedy;0.441242s;0.412936s;57744;13871;9805;1458;10,51%;;56;56;3,84%;1;1239;1
;opt tel;instance 4;Marta;add;eager_greedy;2.62822s;2.61359s;63700;94467;59563;7543;7,98%;;70;70;0,93%;1;5337;1
;opt tel;instance 5;Marta;add;eager_greedy;17.6208s;17.6005s;95020;575646;333131;36657;6,37%;;84;84;0,23%;1;22606;1
;opt tel;instance 6;Marta;add;eager_greedy;123.033s;123.011s;304956;3287647;1840903;176639;5,37%;;98;98;0,06%;1;102349;1
;opt tel;instance 7;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;add;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 2;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 3;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 4;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 5;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 6;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 7;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 8;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 9;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 10;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 11;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 12;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 13;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 14;Marta;cg;eager_greedy;;;;;;;#DIV/0!;;;;#DIV/0!;#DIV/0!;;0
;opt tel;instance 1;Marta;add+cg;eager_greedy;0.0409824s;0.0280441s;58344;752;376;110;14,63%;;28;28;25,45%;1;;1
;opt tel;instance 2;Marta;add+cg;eager_greedy;0.233664s;0.211671s;59484;2774;2154;435;15,68%;;42;42;9,66%;1;;1
;opt tel;instance 3;Marta;add+cg;eager_greedy;1.48694s;1.45566s;61572;17945;12788;2020;11,26%;;56;56;2,77%;1;;1
;opt tel;instance 4;Marta;add+cg;eager_greedy;9.96511s;9.93806s;69760;115627;73879;9816;8,49%;;70;70;0,71%;1;;1
